FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
217,8,"2,003",43.55166667,-66.385,2.7,NA,132397.9,132429.01,0,0,1029686.48,885032.7,714342.44,589416.8,460043.25,396280.78
218,5,"2,003",43.42,-66.33333333,4.7,NA,147387.5,147447.25,0,0,1024995.12,881076.86,711802.22,587029.12,457496.65,395812.65
219,8,"2,004",42.10833333,-66.28833333,3.9,NA,276756.79,276843.26,0,0,955829.05,820381.42,667500.41,547668.16,422351.39,384878.8
220,11,"2,004",43.52333333,-66.25333333,6.4,NA,140286.39,140267.87,0,0,1036725.14,892483.83,722521.85,597662.04,468197.49,405358.16
221,6,"2,004",41.80833333,-66.16666667,5.2,NA,310183.03,310398.68,0,0,950917.89,818295.44,670587.29,552995.08,430333.32,399228.16
222,6,"2,001",43.10666667,-66.14166667,4.02,NA,185589.29,185692.65,0,0,1019483.47,877641.41,712277.06,588195.37,458749.77,402589.47
223,11,"2,000",42.595,-66.12333333,3.62,NA,237701.91,237853.57,0,0,992539.59,853913.2,694736.58,572424.64,444371.69,397255.62
224,8,"2,003",41.655,-66.11666667,4.3,NA,317633.46,314917.82,0,0,947997.44,816877.67,671900.47,555578.21,434471.5,406578.41
225,5,"2,003",41.665,-66.09333333,4.6,NA,319530.17,316797.04,0,0,950207.83,819053.94,673973.95,557584.57,436378.35,408228.95
226,11,"2,004",41.72,-66.05333333,5.8,NA,322661.71,319906.86,0,0,955627.48,824072.57,678179.66,561369.93,439613.7,410231.39
227,1,"2,002",42.03,-66.045,4.7,NA,295608.41,295565.11,0,0,970196.25,835995.55,685135.08,566044.29,441508.88,405653.6
228,6,"2,002",41.675,-65.985,3.8,NA,328521.22,325700.39,0,0,958912.22,827932,682995.21,566597.34,445311.92,416761.84
229,11,"2,004",42.26833333,-65.90833333,5,NA,278133.53,278332.39,0,0,991682.47,855934.05,701976.96,581525.01,455381.16,414789
230,11,"2,002",41.83833333,-65.82333333,4.4,NA,323741,323659.31,0,0,978259.28,846216.74,699059.9,581506.6,458713.61,426607.11
231,8,"2,004",42.22833333,-65.76833333,5.4,NA,287476.89,287778.12,0,0,1000134.3,865030.11,712105.78,592011.1,466226.97,426473.99
232,8,"2,004",42.22833333,-65.76833333,10.1,NA,287476.89,287778.12,0,0,1000134.3,865030.11,712105.78,592011.1,466226.97,426473.99
233,8,"2,004",42.22833333,-65.76833333,31.1,NA,287476.89,287778.12,0,0,1000134.3,865030.11,712105.78,592011.1,466226.97,426473.99
234,5,"2,004",40.48,-70.16333333,7.1,NA,84554.18,85246.93,1.04E-05,0,586466.68,455474.08,325440.03,229804.3,163269.7,218131.68
