FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
83,6,"2,004",41.35166667,-71.10833333,6.7,NA,13169.83,13241.33,1.75E-05,4.73E-05,573174.06,427368.25,261608.67,140925.63,37804.6,110523.67
84,11,"2,004",40.225,-71.09666667,5,NA,109843.04,110557.51,1.30E-05,0,503522.06,371900.78,249639.36,172526.56,158724.34,236353.55
85,11,"2,000",41.35833333,-71.01833333,7.33,NA,8135.96,8135.67,1.72E-05,4.65E-05,579439.55,433971.29,268894.42,148413.57,42006.02,109271.08
86,11,"2,002",41.21666667,-70.97833333,6.8,NA,13037.1,12958.82,1.68E-05,3.56E-05,572246.79,428156.59,267219.87,149840.97,56381.76,125064.36
87,6,"2,002",42.215,-70.63833333,6.3,NA,6312.77,6273.42,1.48E-05,5.88E-05,666223.32,517075.15,339843.25,214959.8,89246.85,30427.71
88,8,"2,001",42.39833333,-70.6,0,-23.7,20626.8,20590.17,1.40E-05,5.06E-05,682713.61,532961.65,353948.84,229572.58,107053.05,31269.85
89,8,"2,001",42.4,-70.58666667,2.6,NA,20916.31,21025.91,1.39E-05,4.97E-05,683622.68,533897.2,354946.32,230547.86,107855.49,32374.4
90,11,"2,003",41.165,-70.585,7.5,NA,20443.41,20499.93,1.51E-05,2.14E-05,595266.68,453495.88,297467.59,182318.73,83306.65,134691.78
91,11,"2,001",42.46333333,-70.55833333,4.7,NA,15374.03,15419.38,1.36E-05,4.61E-05,690241.02,540364.26,360954.7,236754.77,114929.49,36778.4
92,11,"2,004",42.405,-70.55166667,6.9,NA,21405.27,21498.16,1.38E-05,4.84E-05,686060.84,536402.94,357608.12,233156.29,110042.45,35289.71
93,1,"2,002",42.43666667,-70.545,5.7,NA,18488.06,18549.14,1.37E-05,4.64E-05,688925.58,539171.79,360098.18,235755.4,113180.35,36756.69
94,6,"2,004",42.46166667,-70.52333333,6.7,NA,17168.53,17192.17,1.35E-05,4.44E-05,692147.28,542358.5,363164.75,238875.35,116477.9,39360.89
95,1,"2,002",42.50666667,-70.48333333,0,-21.9,15821.58,15861.55,1.32E-05,4.11E-05,698004.82,548156.87,368759.06,244565.46,122462.69,44357.25
96,6,"2,002",42.54833333,-70.45,4.8,NA,14097,14090.28,1.29E-05,3.77E-05,703213.53,553303.94,373704,249610.17,127823.37,48916.58
97,8,"2,004",42.055,-70.415,4.2,NA,13998.5,13900.07,1.43E-05,4.89E-05,667757.47,520023.3,346454.91,221536.25,92233.56,55357.04
98,11,"2,000",43.32333333,-70.37833333,6.65,NA,5182.66,5189.86,9.00E-06,4.30E-06,770343.53,618834.52,434718.6,315234.73,206207.39,120578.09
99,11,"2,001",41.13166667,-70.37666667,5,NA,20395.4,20481.96,1.40E-05,1.28E-05,607520.12,467054.56,313630.35,199644.32,99492.51,143277.52
100,8,"2,001",43.12,-70.36833333,2.7,NA,18735.1,18649.28,1.01E-05,1.22E-05,753924.11,602742.61,419553.96,298543.33,185960.3,100612.01
101,8,"2,001",43.09333333,-70.35333333,0,-23,20868.75,20789.39,1.02E-05,1.33E-05,752543.49,601432.12,418434.56,297164.38,183852.61,98646.67
102,6,"2,001",41.97333333,-70.35166667,7.3,NA,13099.16,13105.68,1.42E-05,4.49E-05,665760.6,518680.95,346814.6,222185.04,92606.43,64989.41
103,8,"2,004",43.47833333,-70.34,3.1,NA,1466.13,1459.27,8.10E-06,5.00E-07,785465.48,633809.02,449256.1,330697.33,223346.33,137721.33
104,8,"2,001",42.14333333,-70.315,4.6,NA,9993.13,10006.38,1.37E-05,4.25E-05,680444.89,532567.14,358427.59,233438.08,104444,57947.29
105,6,"2,004",43.19,-70.30333333,5.2,NA,20886.92,20925.51,9.50E-06,8.20E-06,763246.96,612031.49,428727.65,307871.13,195307.44,110007.68
106,11,"2,000",42.33833333,-70.28833333,6.58,NA,29184.85,29363.49,1.31E-05,3.75E-05,696615.99,547905.48,371443.02,246486.51,119439.73,55973.13
107,11,"2,001",42.06833333,-70.28166667,5.3,NA,2986.73,2966.47,1.37E-05,4.06E-05,677027.66,529646.56,356813.8,231976.45,102495.22,63969.29
108,8,"2,003",42.58833333,-70.235,3.9,NA,28279.52,28115.35,1.20E-05,2.81E-05,718902.49,569354.11,390556.18,266153.15,142343.26,66584.04
109,8,"2,003",41.94,-70.21666667,4.6,NA,9106.15,9162.9,1.37E-05,3.55E-05,671927.63,525501.91,355149.73,230857.09,101507.98,76104.2
110,8,"2,004",43.45833333,-70.14833333,4.4,NA,11045.77,11059.82,7.80E-06,1.00E-07,793906.77,642465.98,458496.93,338680.19,227696.84,142275.25
111,11,"2,001",43.35,-70.1,4.9,NA,21619.91,21557.34,8.20E-06,1.00E-06,787514.56,636295.95,452926.08,332137.86,218774.96,133789.38
112,11,"2,004",43.49,-69.97166667,6.5,NA,20000.5,19938.13,7.20E-06,0,806035.86,654752.6,471176.22,350677.74,237457.61,152527.16
113,1,"2,002",43.49,-69.95,4.7,NA,21604.17,21531.76,7.10E-06,0,807209.37,655952.42,472441.64,351841.21,238313.15,153471.06
114,11,"2,002",43.13666667,-69.805,3.7,NA,54741.39,54666.63,8.40E-06,1.70E-06,786740.9,636430.49,455337.62,332206.24,211879.91,130619.77
115,8,"2,001",43.31333333,-69.75333333,3.6,NA,42907.59,43087.92,7.50E-06,0,803719.56,653074.99,471103.51,348690.67,230208.68,147579.42
116,5,"2,003",42.11666667,-69.71,5,NA,28710.67,28594.17,1.12E-05,9.60E-06,716810.17,570999.55,401263.23,276924.04,147462.94,106310.03
117,1,"2,004",42.50166667,-69.66833333,5,NA,60343.11,60479.33,1.03E-05,9.00E-06,746708.33,598968.3,424287.35,299257.81,170744.49,108232.64
118,1,"2,004",42.50166667,-69.66833333,6.7,NA,60343.11,60479.33,1.03E-05,9.00E-06,746708.33,598968.3,424287.35,299257.81,170744.49,108232.64
119,1,"2,004",42.50166667,-69.66833333,4,NA,60343.11,60479.33,1.03E-05,9.00E-06,746708.33,598968.3,424287.35,299257.81,170744.49,108232.64
120,1,"2,004",42.13,-69.66333333,9.9,NA,32817.68,32678.47,1.10E-05,8.30E-06,720748.2,575008.16,405366.3,281034.72,151575.18,109708
121,6,"2,001",42.85166667,-69.60833333,6.17,NA,80983.99,80549.76,8.90E-06,3.00E-06,776266.52,627237.67,449261.89,324670.49,199077.72,125359.2
122,5,"2,003",42.52833333,-69.47166667,4.5,NA,72708.89,72740.39,9.40E-06,3.20E-06,760911.67,613587.51,439709.18,314690.38,185802.03,124564.57
123,1,"2,004",41.295,-69.42833333,2.6,NA,44607.4,44244.07,9.60E-06,0,684104.85,546007.24,394582.47,279003.56,165332.43,172439.78
124,11,"2,002",39.96833333,-69.41666667,4.5,NA,149568.03,150562.36,4.50E-06,0,622692.23,503511.04,394412.38,309916.8,247552.47,294839.14
125,8,"2,003",43.71166667,-69.36166667,5.3,NA,5847.43,5855.16,4.80E-06,0,857592.03,706715.82,524037.24,402333.92,284710.38,201757.5
126,1,"2,002",43.10833333,-69.34333333,4.6,NA,71936.96,72252.92,7.10E-06,0,811493.05,662166.4,483270.82,359007.47,234421.99,158312.36
127,5,"2,003",41.58166667,-69.31,5.2,NA,52992.48,52616.08,9.50E-06,0,709233.04,568843.87,411536.9,292200.84,170626.88,160643.56
128,1,"2,002",43.12166667,-69.22,0,-24,70903.42,71203.98,6.60E-06,0,819862.1,670750.85,492298.38,367889.72,242681.84,167577.83
129,11,"2,000",42.43833333,-68.88833333,3.51,NA,105361.32,104927.21,7.10E-06,0,792156.36,646981.68,477494.02,352982.35,223412.04,170859.56
130,1,"2,004",42.173,-68.855,4.3,NA,96722.85,96129.27,7.30E-06,0,777063.64,633652.58,468201.66,344793.09,216106.22,174457.61
131,11,"2,000",39.765,-68.735,3.43,NA,195179.26,195826.38,1.60E-06,0,671463.05,558006.24,455564.76,371894.85,303839.1,342833.39
132,6,"2,001",43.54333333,-68.70833,5.72,NA,29109.44,29176.97,3.80E-06,0,882091.43,732676.62,553235.13,429248.95,305025.37,228015.6
133,1,"2,004",42.49333333,-68.59233333,4,NA,129904.87,129310.71,5.80E-06,0,815305.21,670672.92,502031.95,377639.67,248102.64,195410.98
134,11,"2,002",41.68666667,-68.545,5.1,NA,115140.91,114236.69,5.90E-06,0,769421.23,630847.39,475703.01,356525.97,233752.89,212365.31
135,8,"2,003",40.35833333,-68.415,6,NA,164294.28,163848.92,2.60E-06,0,716881.69,594507.77,473031.62,374783.16,284715.2,306585.02
136,5,"2,002",40.38833333,-68.41333333,6.6,NA,162396.97,161913.29,2.60E-06,0,718130.19,595315.82,472955.09,374095.71,283128.68,304234.74
137,11,"2,001",42.56166667,-68.37833333,0,-23.7,141158.89,141691.9,4.90E-06,0,833959.28,689538.83,521099.36,396706.42,267165.2,213513.39
138,1,"2,002",43.67,-68.33833333,4.1,NA,40026.13,39957.67,2.50E-06,0,913651.15,764546.5,585641.53,461462.43,336455.67,260496.95
